edad;trabajo;estado civil;educacion;morosidad;saldo;vivienda;préstamo;contacto;dia;mes;duracion;campaña;pdias;previo;resultado anterior;Salida
59;Jubilado;Soltero;Secundaria;no;120;si;no;Desconocido;5;mayo;514;1;-1;0;desconocido;no
45;Gerencia;Casado;Superior;no;2092;si;no;Desconocido;5;mayo;849;2;-1;0;desconocido;no
29;Servicio;Divorciado;Secundaria;no;124;si;no;Desconocido;5;mayo;194;1;-1;0;desconocido;no
46;Tecnico;Divorciado;Secundaria;no;316;no;no;Desconocido;5;mayo;144;1;-1;0;desconocido;no
56;Independiente;Casado;Primaria;no;-136;si;si;Desconocido;5;mayo;212;2;-1;0;desconocido;no
36;Obrero;Casado;Primaria;no;1792;si;no;Desconocido;5;mayo;286;1;-1;0;desconocido;no
59;Jubilado;Divorciado;Primaria;no;324;si;no;Desconocido;5;mayo;107;1;-1;0;desconocido;no
44;Obrero;Casado;Secundaria;no;576;si;no;Desconocido;5;mayo;247;2;-1;0;desconocido;no
41;Administrador;Casado;Secundaria;no;1404;si;no;Desconocido;5;mayo;518;1;-1;0;desconocido;no
33;Gerencia;Soltero;Superior;no;-268;si;no;Desconocido;5;mayo;364;1;-1;0;desconocido;no
59;Gerencia;Divorciado;Superior;no;1048;no;no;Desconocido;5;mayo;178;1;-1;0;desconocido;no
57;Tecnico;Casado;Primaria;no;0;no;no;Desconocido;5;mayo;98;1;-1;0;desconocido;no
56;Tecnico;Divorciado;Desconocido;no;224;si;no;Desconocido;5;mayo;439;1;-1;0;desconocido;no
51;Obrero;Casado;Secundaria;no;104;si;no;Desconocido;5;mayo;79;1;-1;0;desconocido;no
34;Administrador;Casado;Desconocido;no;12;si;no;Desconocido;5;mayo;120;3;-1;0;desconocido;no
43;Servicio;Casado;Secundaria;no;164;si;si;Desconocido;5;mayo;127;2;-1;0;desconocido;no
52;Tecnico;Casado;Superior;no;28;no;si;Desconocido;5;mayo;175;1;-1;0;desconocido;no
33;Tecnico;Soltero;Secundaria;no;420;si;no;Desconocido;5;mayo;262;2;-1;0;desconocido;no
29;Administrador;Soltero;Secundaria;no;3272;si;si;Desconocido;5;mayo;61;1;-1;0;desconocido;no
34;Servicio;Casado;Secundaria;no;-64;si;si;Desconocido;5;mayo;78;1;-1;0;desconocido;no
31;Obrero;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;143;1;-1;0;desconocido;no
55;Servicio;Casado;Secundaria;no;9904;si;no;Desconocido;5;mayo;579;1;-1;0;desconocido;si
55;Gerencia;Casado;Desconocido;no;4740;no;no;Desconocido;5;mayo;677;1;-1;0;desconocido;no
32;Administrador;Soltero;Secundaria;no;868;si;no;Desconocido;5;mayo;345;1;-1;0;desconocido;no
;Tecnico;Soltero;Secundaria;no;6740;si;no;Desconocido;5;mayo;185;1;-1;0;desconocido;no
;Administrador;Soltero;Secundaria;no;3208;si;si;Desconocido;5;mayo;100;2;-1;0;desconocido;no
;Desempleado;Soltero;Superior;no;0;si;no;Desconocido;5;mayo;125;2;-1;0;desconocido;no
23;Obrero;Casado;Secundaria;no;376;si;no;Desconocido;5;mayo;193;1;-1;0;desconocido;no
32;Tecnico;Soltero;Secundaria;no;0;si;no;Desconocido;5;mayo;136;1;-1;0;desconocido;no
43;Servicio;Soltero;Desconocido;no;0;no;no;Desconocido;5;mayo;73;1;-1;0;desconocido;no
32;Obrero;Casado;Secundaria;no;2068;si;no;Desconocido;5;mayo;528;1;-1;0;desconocido;no
46;Obrero;Casado;Secundaria;no;1060;si;no;Desconocido;5;mayo;541;1;-1;0;desconocido;no
53;Tareas domesticas;Divorciado;Primaria;no;3788;si;no;Desconocido;5;mayo;163;1;-1;0;desconocido;no
34;Independiente;Soltero;Secundaria;no;12;si;no;Desconocido;5;mayo;301;1;-1;0;desconocido;no
57;Desempleado;Casado;Superior;no;168;no;no;Desconocido;5;mayo;46;1;-1;0;desconocido;no
37;Obrero;Casado;Secundaria;no;148;si;no;Desconocido;5;mayo;204;1;-1;0;desconocido;no
59;Obrero;Casado;Secundaria;no;228;si;no;Desconocido;5;mayo;98;1;-1;0;desconocido;no
33;Servicio;Casado;Secundaria;no;88;si;no;Desconocido;5;mayo;71;1;-1;0;desconocido;no
56;Obrero;Divorciado;Primaria;no;32;si;no;Desconocido;5;mayo;157;2;-1;0;desconocido;no
48;Desempleado;Casado;Secundaria;no;1172;si;no;Desconocido;5;mayo;243;1;-1;0;desconocido;no
43;Servicio;Casado;Primaria;no;12;si;no;Desconocido;5;mayo;186;2;-1;0;desconocido;no
54;Obrero;Casado;Primaria;no;1392;si;no;Desconocido;5;mayo;579;2;-1;0;desconocido;no
51;Obrero;Casado;Desconocido;no;-76;si;no;Desconocido;5;mayo;163;2;-1;0;desconocido;no
26;Estudiante;Soltero;Secundaria;no;0;si;no;Desconocido;5;mayo;610;2;-1;0;desconocido;no
40;Gerencia;Casado;Superior;no;-16;si;no;Desconocido;5;mayo;2033;1;-1;0;desconocido;no
39;Gerencia;Casado;Secundaria;no;72;si;no;Desconocido;5;mayo;85;1;-1;0;desconocido;no
50;Tecnico;Casado;Primaria;no;556;no;no;Desconocido;5;mayo;114;2;-1;0;desconocido;no
41;Servicio;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;114;2;-1;0;desconocido;no
51;Obrero;Casado;Desconocido;no;7532;si;no;Desconocido;5;mayo;57;1;-1;0;desconocido;no
60;Jubilado;Divorciado;Secundaria;no;864;si;no;Desconocido;5;mayo;238;1;-1;0;desconocido;no
52;Obrero;Casado;Secundaria;no;3128;si;no;Desconocido;5;mayo;93;3;-1;0;desconocido;no
48;Obrero;Casado;Secundaria;no;3616;si;no;Desconocido;5;mayo;128;2;-1;0;desconocido;no
48;Servicio;Casado;Desconocido;no;6820;si;no;Desconocido;5;mayo;107;1;-1;0;desconocido;no
39;Tecnico;Soltero;Superior;no;188;si;no;Desconocido;5;mayo;181;1;-1;0;desconocido;no
47;Servicio;Soltero;Secundaria;no;704;si;no;Desconocido;5;mayo;303;2;-1;0;desconocido;no
40;Obrero;Casado;Secundaria;no;4900;si;no;Desconocido;5;mayo;558;5;-1;0;desconocido;no
45;Tecnico;Casado;Secundaria;no;344;si;no;Desconocido;5;mayo;270;1;-1;0;desconocido;no
26;Administrador;Soltero;Secundaria;no;328;si;no;Desconocido;5;mayo;228;1;-1;0;desconocido;no
52;Gerencia;Casado;Superior;no;1084;si;no;Desconocido;5;mayo;99;1;-1;0;desconocido;no
54;Tecnico;Casado;Secundaria;no;5512;si;no;Desconocido;5;mayo;240;1;-1;0;desconocido;no
;Administrador;Casado;Superior;no;736;no;no;Desconocido;5;mayo;673;2;-1;0;desconocido;si
;Obrero;Casado;Primaria;no;0;no;no;Desconocido;5;mayo;233;3;-1;0;desconocido;no
35;Obrero;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;1056;1;-1;0;desconocido;no
44;Servicio;Casado;Secundaria;no;5428;si;si;Desconocido;5;mayo;250;1;-1;0;desconocido;no
53;Empresario;Casado;Desconocido;no;76;si;no;Desconocido;5;mayo;252;1;-1;0;desconocido;no
35;Jubilado;Soltero;Primaria;no;1736;no;no;Desconocido;5;mayo;138;1;-1;0;desconocido;no
60;Administrador;Divorciado;Secundaria;no;368;si;no;Desconocido;5;mayo;130;1;-1;0;desconocido;no
53;Administrador;Divorciado;Secundaria;no;4604;si;no;Desconocido;5;mayo;412;1;-1;0;desconocido;no
48;Desempleado;Casado;Secundaria;no;164;si;no;Desconocido;5;mayo;179;2;-1;0;desconocido;no
34;Tecnico;Casado;Secundaria;no;204;si;no;Desconocido;5;mayo;19;2;-1;0;desconocido;no
54;Servicio;Casado;Secundaria;no;856;si;no;Desconocido;5;mayo;458;2;-1;0;desconocido;no
51;Gerencia;Casado;Secundaria;no;4644;si;no;Desconocido;5;mayo;717;1;-1;0;desconocido;no
31;Servicio;Casado;Superior;no;148;si;no;Desconocido;5;mayo;313;1;-1;0;desconocido;no
35;Tecnico;Divorciado;Secundaria;no;3148;si;no;Desconocido;5;mayo;683;2;-1;0;desconocido;no
35;Servicio;Casado;Secundaria;no;236;si;no;Desconocido;5;mayo;1077;1;-1;0;desconocido;no
38;Tecnico;Casado;Secundaria;no;1012;si;no;Desconocido;5;mayo;416;1;-1;0;desconocido;no
36;Administrador;Casado;Superior;no;844;si;no;Desconocido;5;mayo;146;2;-1;0;desconocido;no
58;Jubilado;Casado;Primaria;no;940;si;no;Desconocido;5;mayo;167;1;-1;0;desconocido;no
40;Servicio;Divorciado;Desconocido;no;17536;si;no;Desconocido;5;mayo;315;1;-1;0;desconocido;no
54;Gerencia;Casado;Secundaria;no;16320;no;no;Desconocido;5;mayo;140;1;-1;0;desconocido;no
34;Obrero;Soltero;Secundaria;no;212;si;si;Desconocido;5;mayo;346;1;-1;0;desconocido;no
31;Gerencia;Soltero;Superior;no;0;si;no;Desconocido;5;mayo;562;1;-1;0;desconocido;no
51;Jubilado;Casado;Secundaria;no;8508;si;no;Desconocido;5;mayo;172;1;-1;0;desconocido;no
33;Gerencia;Casado;Superior;no;1508;si;no;Desconocido;5;mayo;217;1;-1;0;desconocido;no
55;Gerencia;Casado;Superior;no;292;si;no;Desconocido;5;mayo;142;2;-1;0;desconocido;no
42;Administrador;Casado;Secundaria;no;1780;si;no;Desconocido;5;mayo;67;1;-1;0;desconocido;no
;Obrero;Casado;Secundaria;no;972;si;no;Desconocido;5;mayo;291;1;-1;0;desconocido;no
;Obrero;Soltero;Secundaria;no;1228;si;no;Desconocido;5;mayo;309;2;-1;0;desconocido;no
38;Servicio;Casado;Secundaria;no;620;si;no;Desconocido;5;mayo;248;1;-1;0;desconocido;no
50;Tecnico;Divorciado;Superior;no;692;no;si;Desconocido;5;mayo;98;1;-1;0;desconocido;no
43;Gerencia;Casado;Superior;no;1600;si;no;Desconocido;5;mayo;256;1;-1;0;desconocido;no
61;Obrero;Divorciado;Primaria;no;5712;si;no;Desconocido;5;mayo;82;2;-1;0;desconocido;no
47;Administrador;Casado;Secundaria;no;876;si;no;Desconocido;5;mayo;577;1;-1;0;desconocido;no
48;Independiente;Casado;Superior;no;28;si;no;Desconocido;5;mayo;286;1;-1;0;desconocido;no
44;Obrero;Casado;Secundaria;no;2300;si;no;Desconocido;5;mayo;477;1;-1;0;desconocido;no
35;Estudiante;Soltero;Desconocido;no;1192;si;no;Desconocido;5;mayo;611;2;-1;0;desconocido;no
35;Servicio;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;471;1;-1;0;desconocido;no
50;Servicio;Casado;Secundaria;no;22796;si;no;Desconocido;5;mayo;381;2;-1;0;desconocido;no
41;Gerencia;Casado;Superior;no;704;si;si;Desconocido;5;mayo;42;1;-1;0;desconocido;no
41;Gerencia;Casado;Superior;no;2068;si;no;Desconocido;5;mayo;251;1;-1;0;desconocido;no
39;Servicio;Soltero;Desconocido;no;1028;si;no;Desconocido;5;mayo;408;1;-1;0;desconocido;no
42;Jubilado;Casado;Secundaria;no;224;si;no;Desconocido;5;mayo;215;1;-1;0;desconocido;no
38;Obrero;Casado;Secundaria;no;-1560;si;no;Desconocido;5;mayo;287;1;-1;0;desconocido;no
53;Jubilado;Casado;Secundaria;no;1320;si;no;Desconocido;5;mayo;216;2;-1;0;desconocido;no
59;Tareas domesticas;Divorciado;Primaria;no;780;no;no;Desconocido;5;mayo;366;2;-1;0;desconocido;no
36;Servicio;Casado;Secundaria;no;1204;si;no;Desconocido;5;mayo;210;1;-1;0;desconocido;no
54;Obrero;Casado;Primaria;no;-164;si;no;Desconocido;5;mayo;288;1;-1;0;desconocido;no
;Tecnico;Casado;Superior;no;1932;si;no;Desconocido;5;mayo;168;1;-1;0;desconocido;no
;Desconocido;Casado;Desconocido;no;112;no;no;Desconocido;5;mayo;338;2;-1;0;desconocido;no
;Desempleado;Casado;Desconocido;no;52;no;no;Desconocido;5;mayo;410;3;-1;0;desconocido;no
;Tareas domesticas;Casado;Primaria;no;3860;no;no;Desconocido;5;mayo;177;1;-1;0;desconocido;no
;Gerencia;Casado;Superior;no;1512;si;si;Desconocido;5;mayo;127;2;-1;0;desconocido;no
;Desempleado;Casado;Secundaria;no;876;si;no;Desconocido;5;mayo;357;1;-1;0;desconocido;no
;Obrero;Casado;Primaria;no;1296;si;no;Desconocido;5;mayo;175;1;-1;0;desconocido;no
;Empresario;Divorciado;Secundaria;no;-276;si;no;Desconocido;5;mayo;300;1;-1;0;desconocido;no
;Jubilado;Casado;Secundaria;no;0;no;si;Desconocido;5;mayo;136;1;-1;0;desconocido;no
43;Tecnico;Divorciado;Desconocido;no;820;si;no;Desconocido;5;mayo;1419;1;-1;0;desconocido;no
48;Obrero;Casado;Primaria;no;1112;si;no;Desconocido;5;mayo;125;2;-1;0;desconocido;no
58;Gerencia;Casado;Desconocido;no;4260;si;no;Desconocido;5;mayo;213;3;-1;0;desconocido;no
33;Gerencia;Soltero;Superior;no;136;si;no;Desconocido;5;mayo;27;1;-1;0;desconocido;no
36;Obrero;Casado;Desconocido;no;4132;no;no;Desconocido;5;mayo;238;2;-1;0;desconocido;no
53;Servicio;Divorciado;Secundaria;no;5868;si;no;Desconocido;5;mayo;124;1;-1;0;desconocido;no
47;Obrero;Casado;Primaria;no;-48;si;no;Desconocido;5;mayo;18;1;-1;0;desconocido;no
31;Servicio;Casado;Secundaria;no;1552;si;no;Desconocido;5;mayo;730;2;-1;0;desconocido;no
57;Empresario;Casado;Secundaria;no;1176;si;no;Desconocido;5;mayo;746;2;-1;0;desconocido;no
53;Obrero;Casado;Desconocido;no;7308;no;no;Desconocido;5;mayo;121;1;-1;0;desconocido;no
55;Obrero;Casado;Primaria;no;2508;si;no;Desconocido;5;mayo;247;1;-1;0;desconocido;no
45;Obrero;Casado;Primaria;no;100;si;no;Desconocido;5;mayo;40;1;-1;0;desconocido;no
53;Administrador;Divorciado;Secundaria;no;1260;si;no;Desconocido;5;mayo;181;2;-1;0;desconocido;no
37;Obrero;Casado;Primaria;no;0;si;no;Desconocido;5;mayo;79;1;-1;0;desconocido;no
44;Administrador;Divorciado;Secundaria;no;264;si;no;Desconocido;5;mayo;206;1;-1;0;desconocido;no
49;Obrero;Divorciado;Primaria;no;-36;si;si;Desconocido;5;mayo;389;1;-1;0;desconocido;no
46;Tecnico;Casado;Secundaria;no;1396;si;si;Desconocido;5;mayo;127;1;-1;0;desconocido;no
43;Empresario;Casado;Desconocido;no;400;si;no;Desconocido;5;mayo;702;1;-1;0;desconocido;no
38;Administrador;Casado;Secundaria;no;0;no;no;Desconocido;5;mayo;151;1;-1;0;desconocido;no
43;Tecnico;Casado;Secundaria;no;1736;si;no;Desconocido;5;mayo;117;1;-1;0;desconocido;no
49;Gerencia;Casado;Superior;no;12948;si;no;Desconocido;5;mayo;232;3;-1;0;desconocido;no
42;Gerencia;Casado;Desconocido;no;1100;no;no;Desconocido;5;mayo;408;2;-1;0;desconocido;no
22;Obrero;Soltero;Secundaria;no;0;si;no;Desconocido;5;mayo;179;2;-1;0;desconocido;no
40;Gerencia;Casado;Superior;no;828;si;no;Desconocido;5;mayo;39;1;-1;0;desconocido;no
39;Obrero;Casado;Secundaria;no;1932;si;no;Desconocido;5;mayo;282;1;-1;0;desconocido;no
51;Servicio;Casado;Secundaria;no;8992;si;no;Desconocido;5;mayo;714;2;-1;0;desconocido;no
49;Administrador;Casado;Secundaria;no;1712;si;no;Desconocido;5;mayo;50;1;-1;0;desconocido;no
53;Obrero;Casado;Secundaria;no;0;si;si;Desconocido;5;mayo;181;1;-1;0;desconocido;no
34;Servicio;Soltero;Secundaria;no;0;si;no;Desconocido;5;mayo;142;1;-1;0;desconocido;no
33;Tecnico;Divorciado;Secundaria;no;560;si;no;Desconocido;5;mayo;227;1;-1;0;desconocido;no
50;Gerencia;Soltero;Superior;no;1188;si;no;Desconocido;5;mayo;119;1;-1;0;desconocido;no
39;Obrero;Casado;Primaria;no;1116;si;no;Desconocido;5;mayo;361;1;-1;0;desconocido;no
59;Empresario;Divorciado;Secundaria;no;3604;si;no;Desconocido;5;mayo;73;3;-1;0;desconocido;no
