Género;Edad;Llamadas;Minutos;Monto facturado;Tiempo de espera;Opinión;Sucursal
Femenino;21;7;44.1;102.5;3.1;Pésimo;Suc. Centro
Femenino;28;9;39;92.2;4.7;Excelente;Suc. Centro
Femenino;21;8;52.2;110.1;3.9;Pésimo;Suc. Centro
Masculino;29;3;53.6;96.5;6.6;Muy Bueno;Suc. Centro
Masculino;36;2;36.3;92;11.7;Pésimo;Suc. Centro
Masculino;34;0;24.3;84.2;2.6;Bueno;Suc. Este
Masculino;28;7;30.1;91.7;5.5;Pésimo;Suc. Este
Masculino;28;4;23.8;74.1;2.7;Pésimo;Suc. Este
Masculino;32;5;17.5;88.8;11.5;Regular;Suc. Este
Masculino;24;3;29.9;91.6;0.5;Bueno;Suc. Este
Masculino;34;4;36.3;80;1.3;Pésimo;Suc. Este
Femenino;20;1;31.8;88.4;5.3;Pésimo;Suc. Este
Femenino;34;3;33;78.5;1.2;Bueno;Suc. Este
Masculino;20;5;31.7;88.3;1.7;Bueno;Suc. Este
Femenino;29;2;31.4;85.6;20.5;Excelente;Suc. Este
Masculino;31;2;26.9;88.6;3.3;Muy Bueno;Suc. Este
Masculino;22;3;17.5;78.8;0.3;Regular;Suc. Este
Masculino;38;3;29.9;81.6;1.7;Pésimo;Suc. Este
Masculino;36;3;36.3;86.3;2.2;Muy Bueno;Suc. Este
Masculino;33;2;31.8;83.8;4;Excelente;Suc. Este
